Suburb,SuburbTown,Chinese_Tot_Resp,Aust_Tot_Resp,proportion
Abbotsford,ABBOTSFORD,838,1794,0.467112598
Abbotsford,COLLINGWOOD,838,1794,0.467112598
Abbotsford,RICHMOND,838,1794,0.467112598
Aberfeldie,ABERFELDIE,101,1074,0.094040968
Aberfeldie,ESSENDON,101,1074,0.094040968
Aberfeldie,MOONEE PONDS,101,1074,0.094040968
Aireys Inlet,AIREYS INLET,3,282,0.010638298
Aireys Inlet,AIRLEYS INLET,3,282,0.010638298
Airport West,AIRPORT WEST,187,1804,0.103658537
Airport West,NIDDRIE,187,1804,0.103658537
Albanvale,ALBANVALE,319,656,0.486280488
Albert Park,ALBERT PARK,130,1559,0.083386786
Albert Park,MIDDLE PARK,130,1559,0.083386786
Albert Park,SOUTH MELBOURNE,130,1559,0.083386786
Alberton West,ALBERTON WEST,0,42,0
Albion,ALBION,296,748,0.395721925
Albion,SUNSHINE,296,748,0.395721925
Alexandra,ALEXANDRA,3,1190,0.002521008
Alfredton,ALFREDTON,229,3407,0.067214558
Alfredton,BALLARAT,229,3407,0.067214558
Allans Flat,ALLANS FLAT,0,143,0
Allansford,ALLANSFORD,3,742,0.004043127
Allansford,WARRNAMBOOL,3,742,0.004043127
Alphington,ALPHINGTON,232,1487,0.15601883
Alphington,FAIRFIELD,232,1487,0.15601883
Altona,ALTONA,364,2972,0.122476447
Altona Meadows,ALTONA MEADOWS,858,4299,0.199581298
Altona North,ALTONA,500,2271,0.220167327
Altona North,ALTONA NORTH,500,2271,0.220167327
Alvie,ALVIE,0,52,0
Amphitheatre,AMPHITHEATRE,0,118,0
Anakie,ANAKIE,0,273,0
Anglesea,ANGLESEA,14,1084,0.012915129
Apollo Bay,APOLLO BAY,23,546,0.042124542
Apsley,APSLEY,0,135,0
Ararat,ARARAT,76,3287,0.023121387
Ardeer,ARDEER,105,460,0.22826087
Ardeer,DEER PARK,105,460,0.22826087
Ardmona,ARDMONA,26,181,0.143646409
Armadale,ARMADALE,453,2306,0.196444059
Armadale,MALVERN,453,2306,0.196444059
Arthurs Creek,ARTHURS CREEK  ,3,207,0.014492754
Ascot (Greater Bendigo - Vic.),EPSOM,18,913,0.019715225
Ascot Vale,ASCOT VALE,810,3567,0.227081581
Ashburton,ASHBURTON,828,2304,0.359375
Ashburton,GLEN IRIS,828,2304,0.359375
Ashwood,ASHWOOD,1154,1497,0.770875084
Aspendale,ASPENDALE,117,2530,0.046245059
Aspendale,MORDIALLOC,117,2530,0.046245059
Athlone,ATHLONE,0,64,0
Avalon,POINT WILSON,47,80,0.5875
Avenel,AVENEL,7,440,0.015909091
Avoca,AVOCA,8,503,0.015904573
Avondale Heights,AVONDALE HEIGHTS,785,1675,0.468656716
Axedale,AXEDALE,0,389,0
Bacchus Marsh,BACCHUS MARSH,33,2461,0.013409183
Bairnsdale,BAIRNSDALE,78,3278,0.023794997
Ballan,BALLAN,14,1192,0.011744966
Ballarat Central,BALLARAT,106,1890,0.056084656
Ballarat East,BALLARAT,77,2050,0.037560976
Ballarat East,BALLARAT EAST,77,2050,0.037560976
Ballarat North,BALLARAT NORTH,57,1484,0.038409704
Balliang,BALLIANG,0,103,0
Balmoral,BALMORAL,5,100,0.05
Balnarring,BALNARRING,6,977,0.006141249
Balnarring Beach,BALNARRING BEACH,0,137,0
Balwyn,BALWYN,3720,2501,1.487405038
Balwyn,SURREY HILLS,3720,2501,1.487405038
Balwyn North,BALWYN NORTH,5317,3474,1.530512378
Balwyn North,BULLEEN,5317,3474,1.530512378
Balwyn North,NORTH BALWYN,5317,3474,1.530512378
Bamawm,BAMAWM,0,261,0
Bamawm Extension,BAMAWM,3,118,0.025423729
Bambra,BAMBRA,0,38,0
Bandiana,BANDIANA MILPO,4,276,0.014492754
Bangholme,BANGHOLME,0,196,0
Bannockburn,BANNOCKBURN,14,2437,0.005744768
Banyena,BANYENA,0,13,0
Baranduda,BARANDUDA,9,1149,0.007832898
Baringhup,BARINGHUP,0,120,0
Baringhup,BARINHUP,0,120,0
Barmah,BARMAH,0,94,0
Barnawartha,BARNAWARTHA,3,435,0.006896552
Barnawartha North,WODONGA,0,59,0
Barongarook,BARONGAROOK,0,186,0
Barrabool,BARRABOOL,0,95,0
Barunah Park,BARUNAH PARK,0,13,0
Barwidgee,MYRTLEFORD,0,39,0
Barwon Downs,BARWON DOWNS,0,37,0
Barwon Heads,BARWON HEADS,21,1521,0.013806706
Bass,BASS,3,161,0.01863354
Batesford,BATESFORD,0,394,0
Baw Baw Village,(blank),3,3,1
Bayswater,BAYSWATER,1159,3325,0.348571429
Bayswater North,BAYSWATER,431,3051,0.141265159
Bayswater North,BAYSWATER NORTH,431,3051,0.141265159
Beaconsfield,BEACONSFIELD,89,2544,0.034984277
Beaconsfield Upper,UPPER BEACONSFIELD,15,1294,0.011591963
Beaconsfield Upper,(blank),15,1294,0.011591963
Bealiba,BEALIBA,0,87,0
Bears Lagoon,BEARS LAGOON,0,32,0
Beauchamp,BEAUCHAMP,0,19,0
Beaufort,BEAUFORT,6,625,0.0096
Beaumaris,BEAUMARIS,306,4251,0.071983063
Beaumaris,BEAUMORIS,306,4251,0.071983063
Beeac,BEEAC,0,180,0
Beech Forest,BEECH FOREST,0,30,0
Beechworth,BEECHWORTH,26,1439,0.018068103
Beechworth,(blank),26,1439,0.018068103
Belgrave,BELGRAVE,48,1375,0.034909091
Belgrave South,BELGRAVE SOUTH,20,710,0.028169014
Bell Park,BELL PARK,78,1227,0.063569682
Bell Park,NORTH GEELONG,78,1227,0.063569682
Bell Post Hill,BELL POST HILL,39,1358,0.028718704
Bellbrae,BELLBRAE,4,341,0.011730205
Bellbrae,TORQUAY,4,341,0.011730205
Bellbridge,BELBRIDGE,0,135,0
Bellfield (Banyule - Vic.),WEST HEIDELBERG,125,432,0.289351852
Belmont,BELMONT,253,5050,0.05009901
Belmont,GEELONG,253,5050,0.05009901
Bena,BENA,4,134,0.029850746
Benalla,BENALLA,88,4302,0.020455602
Benambra,BENAMBRA,0,73,0
Bendigo,BENDIGO,76,1869,0.040663456
Bennison,BENNISON,0,23,0
Bentleigh,BENTLEIGH,1493,3993,0.373904333
Bentleigh,MCKINNON,1493,3993,0.373904333
Bentleigh East,BENTLEIGH,2149,6672,0.322092326
Bentleigh East,BENTLEIGH EAST,2149,6672,0.322092326
Bentleigh East,BENTLEIGH EAST  ,2149,6672,0.322092326
Berriwillock,BERRIWILLOCK,0,75,0
Berwick,BERWICK,2305,13786,0.167198607
Bethanga,BETHANGA,4,242,0.016528926
Beulah,BEULAH,3,166,0.018072289
Beveridge,BEVERIDGE,23,825,0.027878788
Bindi,TONGIO,0,16,0
Binginwarri,BINGINWARRI,0,61,0
Birchip,BIRCHIP,0,269,0
Birregurra,BIRREGURRA,3,321,0.009345794
Bittern,BITTERN,14,1541,0.00908501
Black Hill,BALLARAT,41,788,0.052030457
Black Hill,BLACK HILL,41,788,0.052030457
Black Hill,(blank),41,788,0.052030457
Black Range,STAWELL,0,67,0
Black Rock,BLACK ROCK,156,1938,0.080495356
Black Rock,CHELTENHAM,156,1938,0.080495356
Blackburn,BLACKBURN,1962,4003,0.490132401
Blackburn North,BLACKBURN,1543,1779,0.867341203
Blackburn North,BLACKBURN NORTH,1543,1779,0.867341203
Blackburn South,BLACKBURN SOUTH,1994,2746,0.726147123
Blackburn South,BURWOOD EAST,1994,2746,0.726147123
Blackwood,BLACKWOOD,0,92,0
Blairgowrie,BLAIRGOWRIE,8,816,0.009803922
Blowhard,LEARMONTH,0,43,0
Boisdale,BOISDALE,0,136,0
Bolwarra,BOLWARRA,0,228,0
Bonbeach,BONBEACH,135,2124,0.063559322
Bonbeach,CARRUM,135,2124,0.063559322
Bonbeach,CHELSEA,135,2124,0.063559322
Bonegilla,BONEGILLA,9,324,0.027777778
Boneo,BONEO,0,154,0
Bonnie Doon,BONNIE DOON,0,240,0
Boolarra,BOOLARRA,3,413,0.007263923
Boorhaman,BOORHAMAN,0,48,0
Boorhaman North,BOORHAMAN,0,13,0
Boorolite,LANCEFIELD,0,49,0
Boorolite,MANSFIELD,0,49,0
Boort,BOORT,0,395,0
Boronia,BORONIA,1213,7377,0.164429985
Boronia,THE BASIN,1213,7377,0.164429985
Boronia,WANTIRNA,1213,7377,0.164429985
Boronia,WANTIRNA SOUTH,1213,7377,0.164429985
Bowenvale,BOWENVALE,0,61,0
Box Hill,BOX HILL,4876,1515,3.218481848
Box Hill,BOX HILL SOUTH,4876,1515,3.218481848
Box Hill North,BOX HILL NORTH,3623,2250,1.610222222
Box Hill North,KERRRIMUIR,3623,2250,1.610222222
Box Hill South,BOX HILL,1837,2110,0.870616114
Box Hill South,BOX HILL SOUTH,1837,2110,0.870616114
Box Hill South,BURWOOD,1837,2110,0.870616114
Box Hill South,SURREY HILLS,1837,2110,0.870616114
Braeside,BRAESIDE,0,4,0
Braeside,DINGLEY VILLAGE,0,4,0
Braeside,KEYSBOROUGH,0,4,0
Branxholme,BRANXHOLME,0,117,0
Braybrook,BRAYBROOK,1223,864,1.415509259
Breakwater,BREAKWATER,14,351,0.03988604
Breamlea,BREAMLEA,0,53,0
Breamlea,BREMLEA,0,53,0
Briagolong,BRIAGOLONG,0,453,0
Bridgewater On Loddon,BRIDGEWATER ON LODDON,0,141,0
Bright,BRIGHT,17,861,0.019744483
Brighton,BRIGHTON,1188,6569,0.180849444
Brighton,ELSTERNWICK,1188,6569,0.180849444
Brighton,NORTH BRIGHTON,1188,6569,0.180849444
Brighton,(blank),1188,6569,0.180849444
Brighton East,BRIGHTON,793,4365,0.181672394
Brighton East,BRIGHTON EAST,793,4365,0.181672394
Brighton East,HAMPTON,793,4365,0.181672394
Brighton East,(blank),793,4365,0.181672394
Brim,BRIM,0,85,0
Brimpaen,HORSHAM,0,45,0
Broadford,BROADFORD,30,1967,0.015251652
Broadmeadows,BROADMEADOWS,185,1697,0.10901591
Brookfield,MELTON,143,2663,0.053698836
Brookfield,MELTON SOUTH,143,2663,0.053698836
Brooklyn,BROOKLYN,129,348,0.370689655
Brown Hill,BALLARAT,30,1513,0.019828156
Brown Hill,BALLARAT EAST,30,1513,0.019828156
Brown Hill,BROWN HILL,30,1513,0.019828156
Brunswick,BRUNSWICK,1274,5487,0.232185165
Brunswick East,BRUNSWICK,579,2511,0.230585424
Brunswick East,BRUNSWICK EAST,579,2511,0.230585424
Brunswick West,BRUNSWICK WEST,688,3130,0.219808307
Bruthen,BRUTHEN,0,344,0
Buangor,BUANGOR,3,37,0.081081081
Buchan,BUCHAN,0,114,0
Buchan South,BUCHAN,0,38,0
Buckley,BUCKLEY,0,98,0
Buffalo,BUFFALO,0,135,0
Bulla,BULLA,6,156,0.038461538
Bullarook,BULLAROOK,0,49,0
Bulleen,BLACKBURN NORTH,2036,1548,1.315245478
Bulleen,BULLEEN,2036,1548,1.315245478
Bullengarook,BULLENGAROOK,7,264,0.026515152
Bullengarook,(blank),7,264,0.026515152
Buln Buln,BULN BULN,9,250,0.036
Bunbartha,BUNBARTHA,0,150,0
Bundalong,BUNDALONG,3,191,0.015706806
Bundoora,BUNDOORA,4403,5044,0.872918319
Bundoora,KINGSBURY,4403,5044,0.872918319
Bungalally,HORSHAM,0,40,0
Bungaree,BUNGAREE,0,102,0
Buninyong,BUNINYONG,28,1532,0.018276762
Bunyip,BUNYIP,0,1107,0
Burnley,BURNLEY,26,215,0.120930233
Burnley,RICHMOND,26,215,0.120930233
Burnside Heights,BURNSIDE HEIGHTS,374,717,0.521617852
Burrumbeet,BURRUMBEET,0,87,0
Burwood,ASHWOOD,4156,2692,1.543833581
Burwood,BENNETTSWOOD,4156,2692,1.543833581
Burwood,BURWOOD,4156,2692,1.543833581
Burwood,BURWOOD EAST,4156,2692,1.543833581
Burwood,SURREY HILLS,4156,2692,1.543833581
Burwood East,ASHWOOD,2739,1697,1.61402475
Burwood East,BURWOOD EAST,2739,1697,1.61402475
Burwood East,VERMONT SOUTH,2739,1697,1.61402475
Bushfield,WOODFORD,0,275,0
Buxton,BUXTON,0,184,0
Buxton,(blank),0,184,0
Byaduk,BYADUK,0,50,0
Byawatha,BYAWARTHA,4,76,0.052631579
Cabarita,MERBEIN,0,235,0
Cairnlea,CAIRNLEA,1201,778,1.543701799
California Gully,CALIFORNIA GULLY,46,1959,0.023481368
Calivil,CALIVIL,0,75,0
Callignee,COLLIGNEE,0,148,0
Camberwell,BURWOOD,2680,5725,0.468122271
Camberwell,CAMBERWELL,2680,5725,0.468122271
Campbellfield,CAMPBELLFIELD,45,504,0.089285714
Campbells Bridge,CAMPBELLS BRIDGE,0,7,0
Campbells Creek,CAMPBELLS CREEK,26,779,0.033376123
Campbells Forest,BAGSHOT,0,21,0
Camperdown,CAMPERDOWN,12,1491,0.00804829
Canadian,BALLARAT EAST,138,1332,0.103603604
Caniambo,CANIAMBO,0,42,0
Cann River,CANN RIVER,0,95,0
Cann River,NOORINBEE,0,95,0
Canterbury,CANTERBURY,1267,2236,0.566636852
Cape Bridgewater,CAPE BRIDGEWATER,0,47,0
Cape Bridgewater,TARRAGAL,0,47,0
Cape Clear,CAPE CLEAR,0,62,0
Cape Paterson,CAPE PATERSON,10,329,0.030395137
Cape Schanck,CAPE SCHANCK,0,165,0
Cape Schanck,CAPE SCHANK,0,165,0
Cape Woolamai,CAPE WOOLAMAI,10,728,0.013736264
Caramut,CARAMUT,3,126,0.023809524
Carboor,CARBOOR,0,44,0
Cardinia,CARDINIA,0,163,0
Cardross,CARDROSS,10,392,0.025510204
Carisbrook,CARISBROOK,11,557,0.019748654
Carlisle River,CARLISLE RIVER,0,53,0
Carlton,CARLTON,6904,1697,4.068355922
Carlton,MELBOURNE,6904,1697,4.068355922
Carlton North,PARKVILLE,252,1569,0.160611855
Carnegie,CARNEGIE,2522,3514,0.717700626
Carnegie,CARNEGIE  ,2522,3514,0.717700626
Caroline Springs,CAROLINE SPRINGS,1190,3911,0.304270008
Carranballac,CARRANBALLAC,0,11,0
Carrum,CARRUM,71,1327,0.053504145
Carrum Downs,CARRUM DOWNS,328,7035,0.046624023
Carrum Downs,PATTERSON LAKES,328,7035,0.046624023
Cashmore,CASHMORE,0,109,0
Casterton,CASTERTON,4,685,0.005839416
Castlemaine,CASTLEMAINE,66,2527,0.026117926
Castlemaine,(blank),66,2527,0.026117926
Catani,CATANI,0,102,0
Cathcart,CATHCART,0,46,0
Caulfield,CAULFIELD,301,1098,0.274134791
Caulfield East,CAULFIELD,489,263,1.859315589
Caulfield East,CAULFIELD EAST,489,263,1.859315589
Caulfield East,GLEN HUNTLY,489,263,1.859315589
Caulfield North,CAULFIELD,798,3675,0.217142857
Caulfield North,CAULFIELD NORTH,798,3675,0.217142857
Caulfield South,CAULFIELD,553,2838,0.194855532
Caulfield South,CAULFIELD SOUTH,553,2838,0.194855532
Caulfield South,CAULFIELD SOUTH  ,553,2838,0.194855532
Cavendish,CAVENDISH,0,152,0
Ceres,CERES,0,96,0
Chadstone,CHADSTONE,1723,1322,1.30332829
Charlton,CHARLTON,11,467,0.023554604
Chelsea,CHELSEA,181,2319,0.078050884
Chelsea Heights,CHELSEA HEIGHTS,187,1756,0.106492027
Cheltenham,CHELTENHAM,1176,6532,0.180036742
Cheltenham,HEATHERTON,1176,6532,0.180036742
Cheltenham,HIGHETT,1176,6532,0.180036742
Cheltenham,SANDRINGHAM,1176,6532,0.180036742
Chewton,CASTLEMAINE,0,218,0
Chewton,CHEWTON,0,218,0
Chiltern,CHILTERN,6,691,0.008683068
Chiltern,RUTHERGLEN,6,691,0.008683068
Chirnside Park,CHIRNSIDE PARK,234,3618,0.064676617
Chirnside Park,LILYDALE,234,3618,0.064676617
Christmas Hills,CHRISTMAS HILLS,4,134,0.029850746
Churchill,CHURCHILL,105,1846,0.05687974
Clarendon,CLARENDON,0,46,0
Clarinda,CLARINDA,917,914,1.003282276
Clarkefield,CLARKEFIELD,0,113,0
Clarkefield,RIDDELLS CREEK,0,113,0
Clayton,CLAYTON,7187,1560,4.607051282
Clayton,HUNTINGDALE,7187,1560,4.607051282
Clayton South,CLAYTON,2267,945,2.398941799
Clayton South,CLAYTON SOUTH,2267,945,2.398941799
Clifton Hill,CLIFTON HILL,205,1808,0.113384956
Clifton Hill,FAIRFIELD,205,1808,0.113384956
Clifton Springs,CLIFTON SPRINGS,31,2845,0.010896309
Clunes,CLUNES,14,706,0.019830028
Clyde,CLYDE,36,631,0.057052298
Clyde North,CLYDE NORTH,263,1720,0.152906977
Clydebank,CLYDEBANK,0,48,0
Cobden,COBDEN,6,917,0.006543075
Cobram,COBRAM,60,2150,0.027906977
Cobram East,COBRAM,0,112,0
Cobrico,COBRICO,0,29,0
Coburg,COBURG,933,5494,0.169821624
Coburg,COBURG WEST,933,5494,0.169821624
Coburg North,COBURG,429,1491,0.287726358
Coburg North,COBURG NORTH,429,1491,0.287726358
Cockatoo,COCKATOO,26,1889,0.013763896
Cohuna,COHUNA,3,1115,0.002690583
Colac,COLAC,84,3840,0.021875
Colac East,COLAC,0,116,0
Colbinabbin,COLBINABBIN,0,136,0
Coldstream,COLDSTREAM,17,934,0.018201285
Coleraine,COLERAINE,5,426,0.011737089
Coleraine,WOOTONG VALE,5,426,0.011737089
Colignan,COLIGNAN,28,112,0.25
Collingwood,COLLINGWOOD,612,1716,0.356643357
Concongella,STAWELL,0,74,0
Congupna,CONGUPNA,0,295,0
Connewarre,BARWON HEADS,0,295,0
Connewarre,CONNEWARRE,0,295,0
Connewirricoo,CONNEWIRRICOO,0,10,0
Coolaroo,COOLAROO,24,618,0.038834951
Cooma,COOMA,0,48,0
Cora Lynn,CORA LYNN,0,104,0
Cora Lynn,CORA LYNNE,0,104,0
Cora Lynn,(blank),0,104,0
Corindhap,CORINDHAP,0,50,0
Corinella,CORINELLA,0,318,0
Corio,CORIO,237,5223,0.045376221
Corndale,KILLARA,0,22,0
Coronet Bay,CORONET BAY,0,288,0
Cororooke,COROROOKE,0,133,0
Corryong,CORRYONG,8,523,0.015296367
Cosgrove,COSGROVE,0,22,0
Cowes,COWES,56,1751,0.031981725
Cowwarr,COWWARR,4,156,0.025641026
Craigieburn,CRAIGIEBURN,796,9224,0.086296618
Craigieburn,DONNYBROOK,796,9224,0.086296618
Cranbourne,CRANBOURNE,351,5889,0.059602649
Cranbourne East,CARNBOURNE EAST,451,3937,0.114554229
Cranbourne East,CRANBOURNE,451,3937,0.114554229
Cranbourne East,CRANBOURNE EAST,451,3937,0.114554229
Cranbourne North,CRANBOURNE NORTH,570,5073,0.112359551
Cranbourne South,CRANBOURNE SOUTH,10,689,0.014513788
Cranbourne West,CRANBOURNE,367,3748,0.09791889
Cremorne,RICHMOND,49,576,0.085069444
Creswick,CRESWICK,18,1210,0.014876033
Creswick,CRESWICK  ,18,1210,0.014876033
Crib Point,CRIB POINT,20,1466,0.013642565
Croydon,CROYDON,1149,9115,0.126055952
Croydon,CROYDON SOUTH,1149,9115,0.126055952
Croydon Hills,CROYDON HILLS,211,1893,0.111463286
Croydon North,CROYDON,311,2738,0.11358656
Croydon North,CROYDON NORTH,311,2738,0.11358656
Croydon South,CROYDON SOUTH,182,1802,0.10099889
Cudgewa,CUDGEWA,0,119,0
Culgoa,CULGOA,0,41,0
Cullulleraine,CULLULLERAINE,0,38,0
Curlewis,DRYSDALE,21,630,0.033333333
Daisy Hill,DAISY HILL,4,176,0.022727273
Dallas,BROADMEADOWS,55,793,0.069356873
Dallas,DALLAS,55,793,0.069356873
Dandenong,DANDENONG,1334,2572,0.518662519
Dandenong North,DANDENONG,1160,3001,0.386537821
Dandenong North,DANDENONG NORTH,1160,3001,0.386537821
Dandenong North,NOBLE PARK NORTH,1160,3001,0.386537821
Dandenong South,BANGHOLME,0,42,0
Dandenong South,DANDENONG SOUTH,0,42,0
Darley,BACCHUS MARSH,62,3398,0.018246027
Darley,DARLEY,62,3398,0.018246027
Darnum,DARNUM,3,316,0.009493671
Darnum,SHADY CREEK,3,316,0.009493671
Dartmoor,DARTMOOR,0,135,0
Dartmouth,DARTMOUTH,0,32,0
Daylesford,DAYLESFORD,19,886,0.021444695
Daylesford,DAYLESFORD  ,19,886,0.021444695
Dean,DEAN  ,0,71,0
Deans Marsh,DEANS MARSH,0,98,0
Dederang,DEDERANG,0,67,0
Deepdene,BALWYN,434,513,0.846003899
Deer Park,DEER PARK,1172,2218,0.528403968
Delacombe,DELACOMBE,68,2698,0.025203855
Delahey,DELAHEY,560,999,0.560560561
Dennington,DENNINGTON,16,842,0.019002375
Dennington,WARRNAMBOOL,16,842,0.019002375
Dergholm,DERGHOLM,0,19,0
Derrimut,DERRIMUT,798,942,0.847133758
Derrinallum,DERRINALLUM,3,195,0.015384615
Devenish,DEVENISH,0,96,0
Devon Meadows,DEAVON MEADOWS,20,604,0.033112583
Dhurringile,DHURRINGILE,0,69,0
Diamond Creek,DIAMOND CREEK,143,4439,0.032214463
Digby,DIGBY,0,69,0
Diggers Rest,DIGGERS REST,21,972,0.021604938
Dimboola,DIMBOOLA,15,725,0.020689655
Dingee,DINGEE,0,78,0
Dingley Village,ARMADALE,481,3200,0.1503125
Dingley Village,DINGLEY VILLAGE,481,3200,0.1503125
Dingley Village,FITZROY,481,3200,0.1503125
Dingley Village,GLEN IRIS,481,3200,0.1503125
Dixons Creek,DIXONS CREEK,9,148,0.060810811
Docklands,DOCKLANDS,2760,1070,2.579439252
Docklands,MELBOURNE,2760,1070,2.579439252
Donald,DONALD,10,615,0.016260163
Doncaster,DONCASTER,6688,2603,2.569343066
Doncaster East,DONVALE,9394,4087,2.298507463
Doncaster East,EAST DONCASTER,9394,4087,2.298507463
Donvale,DONVALE,1982,3024,0.65542328
Donvale,SPRINGVALE,1982,3024,0.65542328
Dooen,HORSHAM,3,131,0.022900763
Dookie,DOOKIE,6,140,0.042857143
Doreen,DOREEN,219,7931,0.027613164
Douglas,DOUGLAS,0,27,0
Doveton,DOVETON,322,1473,0.218601494
Doveton,EUMEMMERRING,322,1473,0.218601494
Dromana,DROMANA,35,2061,0.016982048
Drouin,DROUIN,85,5187,0.016387122
Drouin West,DROUIN WEST,4,144,0.027777778
Drumborg,DRUMBORG,0,63,0
Drumcondra,DRUMCONDRA,0,171,0
Drung,DRUNG,0,69,0
Drung,HORSHAM,0,69,0
Drysdale,DRYSDALE,19,1761,0.010789324
Dumbalk,DUMBALK,0,201,0
Dumbalk North,DUMBALK NORTH,0,47,0
Dunkeld,DUNKELD,0,277,0
Dunluce,DUNLUCE,0,25,0
Dunnstown,DUNNSTOWN,0,78,0
Dunnstown,DUNSTOWN,0,78,0
Dunolly,DUNOLLY,6,356,0.016853933
Eagle Point,EAGLE POINT,16,378,0.042328042
Eaglehawk,EAGLEHAWK,65,2423,0.026826248
East Bairnsdale,BAIRNSDALE,9,582,0.015463918
East Bendigo,BENDIGO,21,775,0.027096774
East Bendigo,BENDIGO EAST,21,775,0.027096774
East Geelong,EAST GEELONG,25,1388,0.018011527
East Geelong,GEELONG,25,1388,0.018011527
East Melbourne,RICHMOND,275,1209,0.227460711
Echuca,ECHUCA,75,6153,0.012189176
Echuca Village,ECHUCA,3,242,0.012396694
Ecklin South,ECKLIN SOUTH,0,93,0
Edenhope,EDENHOPE,0,437,0
Edi Upper,EDI UPPER,0,28,0
Edithvale,CHELSEA HEIGHTS,130,2023,0.064260999
Edithvale,EDITHVALE,130,2023,0.064260999
Eildon,EILDON,5,345,0.014492754
Elaine,ELAINE,0,102,0
Eldorado,ELDORADO,0,132,0
Elliminyt,ELLIMINYT,23,1252,0.018370607
Ellinbank,ELLINBANK,0,115,0
Elmhurst,ELMHURST,0,60,0
Elmore,ELMORE,4,313,0.012779553
Elphinstone,ELPHINSTONE,0,189,0
Elsternwick,ELSTERNWICK,357,2877,0.124087591
Eltham,ELTHAM,466,6352,0.07336272
Eltham North,ELTHAM NORTH,181,2429,0.074516262
Elwood,ELWOOD,347,4011,0.086512092
Emerald,AVONSLEIGH,38,2197,0.017296313
Emerald,EMERALD,38,2197,0.017296313
Endeavour Hills,ENDEAVOUR HILLS,2000,3532,0.566251416
Enfield,ENFIELD,5,229,0.021834061
Ensay,ENSAY,0,40,0
Eppalock,KIMBOLTON,6,322,0.01863354
Epping,EPPING,1279,5542,0.230783111
Erica,(blank),0,66,0
Eskdale,ESKDALE,0,105,0
Essendon,ESSENDON,794,5075,0.156453202
Essendon,NORTH ESSENDON,794,5075,0.156453202
Essendon North,NIDDRIE,96,675,0.142222222
Essendon North,NORTH ESSENDON,96,675,0.142222222
Essendon West,ESSENDON,72,401,0.179551122
Eumemmerring,EUMEMMERRING,60,310,0.193548387
Eureka,BALLARAT,8,234,0.034188034
Euroa,EUROA,19,1326,0.014328808
Everton,EVERTON,0,88,0
Everton Upper,EVERTON,3,53,0.056603774
Eynesbury,EYNESBURY,24,1124,0.021352313
Fairfield,ABBOTSFORD,254,1701,0.149323927
Fairfield,FAIRFIELD,254,1701,0.149323927
Fairhaven,FAIRHAVEN,0,132,0
Fairy Dell (Campaspe - Vic.),ROCHESTER,0,39,0
Fawkner,FAWKNER,195,1571,0.124124761
Ferguson,FERGUSON,0,10,0
Ferntree Gully,FERNTREE GULLY,1429,9251,0.154469787
Fingal,BONEO,4,220,0.018181818
Fingal,FINGAL,4,220,0.018181818
Fingal,ST ANDREWS BEACH,4,220,0.018181818
Fish Creek,FISH CREEK,3,342,0.00877193
Fitzroy,FITZROY,685,2203,0.310939628
