Suburb,SuburbTown,Chinese_Tot_Resp,Aust_Tot_Resp,proportion
Newlyn,NEWLYN  ,0,30,0
Newmerella,NEWMERELLA,0,189,0
Newport,NEWPORT,316,3849,0.082099247
Newport,WILLIAMSTOWN,316,3849,0.082099247
Newry,NEWRY,0,191,0
Newry,STRATFORD,0,191,0
Newstead,NEWSTEAD,0,303,0
Newtown (Greater Geelong - Vic.),NEWTOWN,212,3281,0.064614447
Nhill,NHILL,0,861,0
Nichols Point,MILDURA,5,681,0.007342144
Nichols Point,NICHOLS POINT,5,681,0.007342144
Nirranda,NIRRANDA,0,25,0
Noble Park,NOBLE PARK,2744,3233,0.848747294
Noble Park North,NOBLE PARK NORTH,518,1087,0.476540938
Noojee,NOOJEE,0,55,0
Noorat,NOORAT,0,166,0
Norlane,NORLANE,78,2665,0.029268293
North Bendigo,BENDIGO,64,1464,0.043715847
North Bendigo,NORTH BENDIGO,64,1464,0.043715847
North Geelong,GEELONG,58,825,0.07030303
North Geelong,NORTH GEELONG,58,825,0.07030303
North Melbourne,NORTH MELBOURNE,3311,2348,1.410136286
North Wangaratta,WANGARATTA,0,112,0
Northcote,NORTHCOTE,835,6518,0.128106781
Northcote,THORNBURY,835,6518,0.128106781
Notting Hill,CLAYTON,990,363,2.727272727
Notting Hill,NOTTING HILL,990,363,2.727272727
Nowa Nowa,NOWA NOWA,0,86,0
Nullawil,NULLAWIL,0,52,0
Numurkah,NUMURKAH,11,2023,0.005437469
Numurkah,WAAIA,11,2023,0.005437469
Nunawading,DONVALE,2049,3011,0.680504816
Nunawading,NUNAWADING,2049,3011,0.680504816
Nyah,NYAH,0,222,0
Nyah,NYAH WEST,0,222,0
Nyah West,NYAH WEST,3,245,0.012244898
Nyora,NYORA,4,694,0.005763689
Oak Park,OAK PARK,345,1361,0.253490081
Oaklands Junction,GREENVALE,10,149,0.067114094
Oakleigh,OAKLEIGH,862,1481,0.582039163
Oakleigh East,CLAYTON,1091,928,1.175646552
Oakleigh East,OAKLEIGH,1091,928,1.175646552
Oakleigh South,CLAYTON,969,1563,0.619961612
Oakleigh South,OAKLEIGH,969,1563,0.619961612
Oakleigh South,OAKLEIGH SOUTH,969,1563,0.619961612
Ocean Grove,OCEAN GROVE,113,5498,0.020552928
Ocean Grove,(blank),113,5498,0.020552928
Officer,OFFICER,130,2394,0.054302423
Officer,(blank),130,2394,0.054302423
Olinda,OLINDA,18,599,0.030050083
Omeo,OMEO,7,192,0.036458333
Orbost,ORBOST,13,1127,0.011535049
Ormond,CARNEGIE,856,1931,0.44329363
Ormond,HAMPTON,856,1931,0.44329363
Ormond,ORMOND,856,1931,0.44329363
Ormond,SANDRINGHAM,856,1931,0.44329363
Orrvale,SHEPPARTON,4,143,0.027972028
Outtrim,OUTRIM,3,112,0.026785714
Outtrim,OUTTRIM,3,112,0.026785714
Ouyen,OUYEN,8,550,0.014545455
Oxley,OXLEY,3,265,0.011320755
Pakenham,PAKENHAM,694,16225,0.042773498
Pakenham Upper,PAKENHAM UPPER,4,454,0.008810573
Panmure,PANMURE,0,198,0
Panton Hill,PANTON HILL  ,9,385,0.023376623
Paraparap,PARAPARAP,0,66,0
Park Orchards,PARK ORCHARDS,127,1351,0.094004441
Parkdale,MENTONE,343,3941,0.087033748
Parkdale,MORDIALLOC,343,3941,0.087033748
Parkdale,PARKDALE,343,3941,0.087033748
Parkville,CARLTON,1180,1482,0.796221323
Parkville,PARKVILLE,1180,1482,0.796221323
Pascoe Vale,PASCOE VALE,595,3637,0.163596371
Pascoe Vale South,PASCOE VALE SOUTH,248,2343,0.105847204
Patchewollock,PATCHEWOLLOCK,0,66,0
Patterson Lakes,PATTERSON LAKES,354,2234,0.158460161
Paynesville,PAYNESVILLE,19,1308,0.014525994
Pearcedale,PEARCEDALE,28,1688,0.016587678
Peechelba,PEECHELBA,0,76,0
Penshurst,PENSHURST,0,278,0
Peterborough,PETERBOROUGH,3,127,0.023622047
Pheasant Creek,PHEASANT CREEK,4,135,0.02962963
Picola,PICOLA,0,94,0
Pigeon Ponds,PIGEON PONDS,0,25,0
Pimpinio,HORSHAM,0,83,0
Pine Lodge,PINE LODGE,0,136,0
Plenty,PLENTY,26,813,0.03198032
Point Cook,POINT COOK,7172,8383,0.855540976
Point Leo,POINT LEO,4,60,0.066666667
Point Lonsdale,POINT LONSDALE,17,945,0.017989418
Pomonal,POMONAL,0,139,0
Poowong,POOWONG,7,318,0.022012579
Porepunkah,POREPUNKAH,6,398,0.015075377
Port Campbell,COORIEMUNGLE,5,176,0.028409091
Port Campbell,PORT CAMPBELL,5,176,0.028409091
Port Fairy,PORT FAIRY,20,1267,0.01578532
Port Melbourne,PORT MELBOURNE,534,3876,0.137770898
Port Welshpool,PORT WELSHPOOL,4,68,0.058823529
Portarlington,PORTARLINGTON,18,1275,0.014117647
Portland,PORTLAND,63,4283,0.014709316
Portland West,PORTLAND,0,244,0
Portsea,PORTSEA,3,160,0.01875
Powelltown,POWELLTOWN,8,104,0.076923077
Powlett Plains,POWLETT PLAINS,0,12,0
Prahran,PRAHRAN,610,2813,0.216850338
Preston,PRESTON,2363,6335,0.373007103
Preston,RESERVOIR,2363,6335,0.373007103
Preston,WEST PRESTON,2363,6335,0.373007103
Princes Hill,PRINCES HILL,71,510,0.139215686
Princes Hill,PRINCESS HILL,71,510,0.139215686
Princetown,PRINCETOWN,0,115,0
Purnim,FRAMLINGHAM,0,84,0
Purnim,PURNIM,0,84,0
Pyalong,PYALONG,0,274,0
Pyramid Hill,PYRAMID HILLS,3,189,0.015873016
Quambatook,KERANG,0,86,0
Quambatook,QUAMBATOOK,0,86,0
Quantong,QUANTONG,0,157,0
Quarry Hill,BENDIGO,29,900,0.032222222
Quarry Hill,QUARRY HILL,29,900,0.032222222
Queenscliff,QUEENSCLIFF,3,440,0.006818182
Queenscliff,QUEENSCLIFFE,3,440,0.006818182
Raglan,RAGLAN,0,103,0
Rainbow,RAINBOW,7,304,0.023026316
Ravenhall,RAVENHALL,0,3,0
Ravenswood,RAVENSWOOD,12,184,0.065217391
Rawson,RAWSON,8,135,0.059259259
Raywood,RAYWOOD,3,162,0.018518519
Red Cliffs,RED CLIFFS,23,2101,0.010947168
Red Hill,RED HILL,7,356,0.019662921
Redan,BALLARAT,17,1121,0.015165031
Redan,REDAN,17,1121,0.015165031
Redesdale,REDESDALE,0,80,0
Research,RESEARCH,46,958,0.048016701
Reservoir,BUNDOORA,3251,8721,0.372778351
Reservoir,KEON PARK,3251,8721,0.372778351
Reservoir,PRESTON,3251,8721,0.372778351
Reservoir,RESERVOIR,3251,8721,0.372778351
Rhyll,RHYLL,5,219,0.02283105
Rich Avon West,RICH AVON WEST,0,11,0
Richmond,BURNLEY,2203,5981,0.368333055
Richmond,CREMORNE,2203,5981,0.368333055
Richmond,RICHMOND,2203,5981,0.368333055
Riddells Creek,RIDDELLS CREEK,17,1656,0.0102657
Ringwood,RINGWOOD,1920,4903,0.391596981
Ringwood East,RINGWOOD EAST,803,3231,0.248529867
Ringwood North,RINGWOOD,662,3459,0.191384793
Ringwood North,RINGWOOD NORTH,662,3459,0.191384793
Robinvale,ROBINVALE,153,751,0.203728362
Rochester,ROCHESTER,13,1457,0.008922443
Rockbank,ROCKBANK,15,361,0.041551247
Rokeby,ROKEBY,4,86,0.046511628
Rokewood,ROCKWOOD,0,96,0
Rokewood,ROKEWOOD,0,96,0
Romsey,ROMSEY,25,2113,0.011831519
Rosanna,ROSANNA,495,2415,0.204968944
Rosebud,ROSEBUD,116,5094,0.022771888
Rosebud West,ROSEBUD,30,1840,0.016304348
Rosebud West,ROSEBUD WEST,30,1840,0.016304348
Rosebud West,TOOTGAROOK,30,1840,0.016304348
Rosedale,ROSEDALE,5,778,0.006426735
Ross Creek,ROSS CREEK,11,571,0.019264448
Rowville,ROWVILLE,3822,8849,0.431913211
Rowville,(blank),3822,8849,0.431913211
Roxburgh Park,ROXBURGH PARK,387,2437,0.158801805
Ruffy,RUFFY,0,37,0
Rupanyup,RUPANYUP,6,277,0.02166065
Rushworth,RUSHWORTH,4,571,0.007005254
Rutherglen,RUTHERGLEN,16,1058,0.015122873
Rye,RYE,49,3163,0.015491622
Rye,ST ANDREWS BEACH,49,3163,0.015491622
Rythdale,PAKENHAM SOUTH,3,4,0.75
Safety Beach,SAFETY BEACH,20,1512,0.013227513
Sale,SALE,158,5614,0.028143926
San Remo,SAN REMO,19,470,0.040425532
Sandford,SANDFORD,0,46,0
Sandhill Lake,SANDHILL LAKE,0,4,0
Sandhurst,SANDHURST,215,1449,0.148378192
Sandringham,SANDRINGHAM,229,3195,0.071674491
Sandringham,(blank),229,3195,0.071674491
Sandy Creek,SANDY CREEK,0,86,0
Sandy Point,SANDY POINT,0,86,0
Sandy Point,SANY POINT,0,86,0
Sarsfield,SARSFIELD,3,248,0.012096774
Sassafras,FERNY CREEK,11,339,0.032448378
Scoresby,SCORESBY,859,1573,0.546090273
Scotts Creek,SCOTTS CREEK,0,108,0
Sea Lake,SEA LAKE,0,292,0
Seabrook,SEABROOK,375,1139,0.329236172
Seaford,CARRUM DOWNS,252,5682,0.044350581
Seaford,FRANKSTON,252,5682,0.044350581
Seaford,SEAFORD,252,5682,0.044350581
Seaholme,ALTONA,48,542,0.088560886
Seaholme,SEAHOLME,48,542,0.088560886
Seaspray,SEASPRAY,3,121,0.024793388
Sebastian,SEBASTIAN,3,110,0.027272727
Sebastopol,SEBASTOPOL,94,4277,0.021978022
Selby,SELBY,23,595,0.038655462
Serpentine,SERPENTINE,0,73,0
Serviceton,SERVICETON,0,62,0
Seville,SEVILLE,17,987,0.017223911
Seymour,SEYMOUR,142,2585,0.054932302
Shady Creek,SHADY CREEK,0,86,0
Sheep Hills,WARRACKNABEAL,0,12,0
Shelford,SHELFORD,0,117,0
Shepherds Flat,SHEPHERDS FLAT,3,36,0.083333333
Shepparton,SHEPPARTON,439,9818,0.044713791
Shepparton East,SHEPPARTON EAST,6,344,0.01744186
Shepparton North,SHEPPARTON,12,328,0.036585366
Shoreham,FLINDERS,0,201,0
Shoreham,SHOREHAM,0,201,0
Silvan,SILVAN,5,416,0.012019231
Simpson,SIMPSON  ,0,252,0
Skipton,SKIPTON,0,254,0
Skye,SKYE,124,3002,0.041305796
Smeaton,SMEATON,0,69,0
Smiths Gully,ST ANDREWS,3,147,0.020408163
Smythesdale,SMYTHESDALE,10,427,0.023419204
Snake Valley,SNAKE VALLEY,9,280,0.032142857
Soldiers Hill,BALLARAT,18,1025,0.017560976
Somers,SOMERS,15,650,0.023076923
Somers,(blank),15,650,0.023076923
Somerton,SOMERTON,0,0,0
Somerville,PEARCEDALE,51,4806,0.010611735
Somerville,SOMERVILLE,51,4806,0.010611735
Somerville,SOMMERVILLE,51,4806,0.010611735
Sorrento,SORRENTO,0,520,0
South Dudley,WONTHAGGI,3,192,0.015625
South Geelong,GEELONG SOUTH,20,357,0.056022409
South Geelong,SOUTH GEELONG,20,357,0.056022409
South Kingsville,SOUTH KINGSVILLE,73,492,0.148373984
South Melbourne,SOUTHBANK,889,2344,0.379266212
South Morang,SOUTH MORANG,673,5264,0.127849544
South Yarra,RICHMOND,2779,4794,0.579682937
South Yarra,SOUTH YARRA,2779,4794,0.579682937
Southbank,SOUTHBANK,4771,1968,2.424288618
Spargo Creek,KORWEINGUBOORA,0,8,0
Speed,SPEED,3,47,0.063829787
Spotswood,SPOTSWOOD,94,786,0.119592875
Spring Gully,SPRING GULLY,48,1124,0.042704626
Spring Gully,(blank),48,1124,0.042704626
Springhurst,SPRINGHURST,0,155,0
Springvale,MULGRAVE,4355,1277,3.410336727
Springvale,SPRINGVALE,4355,1277,3.410336727
Springvale South,SPRINGVALE,2509,1047,2.396370583
St Albans,KEILOR DOWNS,2625,2883,0.910509886
St Albans,ST ALBANS,2625,2883,0.910509886
St Andrews,ST ANDREWS,7,519,0.013487476
St Arnaud,ST ARNAUD,13,970,0.013402062
St Clair,FOREST HILL,0,28,0
St Helena,ST HELENA,74,993,0.074521652
St James,ST JAMES,0,65,0
St Kilda,ALBERT PARK,693,4019,0.172430953
St Kilda,ST KILDA,693,4019,0.172430953
St Kilda East,ST KILDA EAST,407,3306,0.123109498
St Leonards,ST LEONARDS,13,898,0.014476615
St Leonards,ST. LEONARDS,13,898,0.014476615
Stanhope,STANHOPE,5,356,0.014044944
Stanley,STANLEY,5,134,0.037313433
Stawell,STAWELL,40,2590,0.015444015
Stony Creek (South Gippsland - Vic.),STONY CREEK,0,138,0
Stratford,STOCKDALE,11,1241,0.00886382
Stratford,STRATFORD,11,1241,0.00886382
Strath Creek,STRATH CREEK,0,70,0
Strathbogie,STRATHBOGIE,0,110,0
Strathdale,BENDIGO,107,2235,0.04787472
Strathewen,STRATHEWEN,0,86,0
Strathfieldsaye,EMU CREEK,43,2605,0.016506718
Strathfieldsaye,STRATHFIELDSAYE,43,2605,0.016506718
Strathmerton,STRATHMERTON,3,448,0.006696429
Strathmore,STRATHMORE,200,2460,0.081300813
Strathmore,STRATHMORE HEIGHTS,200,2460,0.081300813
Strathmore Heights,STRATHMORE HEIGHTS,16,298,0.053691275
Streatham,STREATHAM,0,66,0
Stuart Mill,STUART MILL,0,29,0
Sunbury,GISBORNE,399,13760,0.028997093
Sunbury,GISBORNE SOUTH,399,13760,0.028997093
Sunbury,SUNBURY,399,13760,0.028997093
Sunshine,SUNSHINE,701,1354,0.517725258
Sunshine North,ST ALBANS,1267,1059,1.196411709
Sunshine North,SUNSHINE,1267,1059,1.196411709
Sunshine West,SUNSHINE,1212,2040,0.594117647
Sunshine West,SUNSHINE WEST,1212,2040,0.594117647
Surrey Hills,SURREY HILLS,1573,3991,0.394136808
Sutherlands Creek,SUTHERLANDS CREEK,0,48,0
Sutton Grange,SUTTON GRANGE,3,50,0.06
Swan Hill,SWAN HILL,94,4423,0.021252544
Swan Marsh,PIRRON YALLOCK,0,54,0
Swan Marsh,SWAN MARSH,0,54,0
Swan Reach,SWAN REACH,3,309,0.009708738
Swan Reach,(blank),3,309,0.009708738
Swanpool,SWANPOOL,0,84,0
Swifts Creek,SWIFT CREEK,0,109,0
Sydenham,SYDENHAM,432,1627,0.265519361
Tahara,TAHARA,0,15,0
Talbot,TALBOT,0,186,0
Tallangatta,TALLANGATTA,3,479,0.006263048
Tallarook,TALAROOK,0,278,0
Tallarook,TALLAROOK,0,278,0
Tallygaroopna,TALLYGAROOPNA,0,234,0
Tangambalanga,TANGAMBALANGA,0,262,0
Tanjil South,THALLOO,0,260,0
Taradale,TARADALE,0,180,0
Tarnagulla,TARNAGULLA,0,49,0
Tarneit,HOPPERS CROSSING,1300,5155,0.252182347
Tarneit,TARNEIT,1300,5155,0.252182347
Tarraville,TARRAVILLE,0,27,0
Tarrawingee,TARRAWINGEE,0,162,0
Tarrington,TARRINGTON,0,132,0
Tarrone,TARRONE,0,10,0
Tarwin Lower,TARWIN LOWER,0,154,0
Tatong,TATONG,6,129,0.046511628
Tatura,TATURA,23,1766,0.013023783
Tatyoon,TATYOON,0,60,0
Tawonga,TAWONGA,3,243,0.012345679
Taylors Lakes,SUNSHINE,582,2819,0.20645619
Taylors Lakes,SYDENHAM,582,2819,0.20645619
Taylors Lakes,TAYLORS LAKES,582,2819,0.20645619
Teesdale,TEESDALE,7,725,0.009655172
Telangatuk East,TELANGATUK EAST,0,47,0
Templestowe,TEMPLESTOWE,3248,2876,1.129346314
Templestowe Lower,LOWER TEMPLESTOWE,2541,2447,1.038414385
Templestowe Lower,TEMPLESTOWE,2541,2447,1.038414385
Tempy,TEMPY,0,30,0
Tennyson,TENNYSON,0,26,0
Terang,TERANG,5,951,0.005257624
Terip Terip,TERIP TERIP,0,33,0
The Basin,THE BASIN,53,1763,0.030062394
Thomastown,KEON PARK,1037,2073,0.500241196
Thomastown,THOMASTOWN,1037,2073,0.500241196
Thomson (Greater Geelong - Vic.),THOMSON,11,575,0.019130435
Thomson (Greater Geelong - Vic.),WHITTINGTON,11,575,0.019130435
Thornbury,THORNBURY,614,4352,0.141084559
Thornton,THORNTON,0,141,0
Thorpdale,THORPDALE,3,220,0.013636364
Timboon,TIMBOON,8,529,0.015122873
Tinamba,TINAMBA,0,122,0
Tinamba,(blank),0,122,0
Tintaldra,TINTALDRA,0,27,0
Tolmie,MANSFIELD,0,145,0
Tolmie,TOLMIE,0,145,0
Tongala,TONGALA,12,933,0.012861736
Tooborac,TOOBORAC,0,99,0
Toolamba,TOOLAMBA,6,368,0.016304348
Toolangi,TOOLANGI,0,125,0
Toolern Vale,MELTON,0,312,0
Toolern Vale,TOORLERN VALE,0,312,0
Toolleen,TOOLLEEN,0,80,0
Toolondo,TOOLONDO,0,24,0
Toongabbie,TOONGABBIE,4,517,0.007736944
Toora,TOORA,4,308,0.012987013
Tooradin,TOORADIN,8,744,0.010752688
Toorak,KOOYONG,1108,3151,0.351634402
Toorak,TOORAK,1108,3151,0.351634402
Torquay,TORQUAY,104,5092,0.020424195
Torrita,TORRITA,0,14,0
Trafalgar,TRAFALGAR,14,1777,0.007878447
Trafalgar East,TRAFALGAR,3,172,0.01744186
Traralgon,TRARALGON,255,9842,0.025909368
Traralgon East,TRARALGON,10,722,0.013850416
Traralgon South,TRARALGON,0,254,0
Trentham,TRENTHAM,9,402,0.02238806
Tresco West,LAKE BOGA,0,67,0
Truganina,TRUGANINA,1303,2029,0.64218827
Tuerong,TUERONG,0,120,0
Tullamarine,TULLAMARINE,151,1413,0.106864827
Tungamah,TUNGAMAH,0,179,0
Tyabb,TYABB,29,1415,0.0204947
Tyers,TYERS,3,357,0.008403361
Tylden,TYLDEN,6,236,0.025423729
Tynong,TYNONG,0,206,0
Tyntynder South,TYNTYNDER SOUTH,0,116,0
Tyrendarra,TYRENDARRA,0,87,0
Ultima,ULTIMA,3,78,0.038461538
Undera,UNDERA,0,173,0
Underbool,UNDERBOOL,0,116,0
Upper Ferntree Gully,UPPER FERNTREE GULLY,42,1244,0.033762058
Upwey,UPWEY,80,2509,0.031885213
Vectis,HORSHAM,0,71,0
Ventnor,COWES,3,297,0.01010101
Ventnor,SMITHS BEACH,3,297,0.01010101
Ventnor,VENTNOR,3,297,0.01010101
Venus Bay,VENUS BAY,4,206,0.019417476
Vermont,VERMONT,1822,2738,0.665449233
Vermont,VERMONT SOUTH,1822,2738,0.665449233
Vermont South,BRIGHT,2981,2243,1.329023629
Vermont South,VERMONT,2981,2243,1.329023629
Vermont South,VERMONT SOUTH,2981,2243,1.329023629
Vermont South,(blank),2981,2243,1.329023629
Viewbank,VIEWBANK,717,1851,0.387358185
Vinifera,VINIFERA,0,60,0
Violet Town,VIOLET TOWN,9,361,0.024930748
Waaia,WAAIA,0,182,0
Wahgunyah,WAHGUNYA,3,484,0.006198347
Waldara,WANGARATTA,0,255,0
Wallace,WALLACE,0,85,0
Wallacedale,WALLACEDALE,0,51,0
Wallaloo,WALLALOO,0,14,0
Wallan,WALLAN,108,4446,0.024291498
Wallington,WALLINGTON,11,545,0.020183486
Walpeup,WALPEUP,0,68,0
Walwa,WALWA,0,64,0
Wandana Heights,WANDANA HEIGHTS,43,775,0.055483871
Wandella,KERANG,0,50,0
Wandella,WANDELLA,0,50,0
Wandiligong,WANDILIGONG,3,187,0.016042781
Wandin East,WANDIN EAST,0,126,0
Wandin North,WANDIN NORTH,22,1274,0.017268446
Wando Vale,WANDO VALE,0,40,0
Wandong,WANDONG,7,611,0.011456628
Wangandary,WANGANDARY,0,84,0
Wangaratta,WANGARATTA,160,7132,0.0224341
Wangaratta,WANGARTTA,160,7132,0.0224341
Wangaratta South,WANGARATTA,4,220,0.018181818
Wangoom,WANGOOM,0,116,0
Wantirna,HEATHMONT,2579,3498,0.737278445
Wantirna,WANTIRNA,2579,3498,0.737278445
Wantirna South,WANTIRNA,4619,3949,1.169663206
Wantirna South,WANTIRNA SOUTH,4619,3949,1.169663206
Waranga Shores,RUSHWORTH,9,119,0.075630252
Warburton,WARBURTON,17,667,0.025487256
Warncoort,WARNCOORT,0,46,0
Warneet,WARNEET,3,208,0.014423077
Warracknabeal,WARRACKNABEAL,23,1034,0.022243714
Warragul,WARRAGUL,158,6294,0.025103273
Warragul,WARRAGUL NORTH,158,6294,0.025103273
Warragul South,WARRAGUL SOUTH,0,115,0
Warrak,WARRAK,0,23,0
Warrandyte,WARRANDYTE,221,1821,0.121361889
Warrandyte South,SOUTH WARRANDYTE,15,231,0.064935065
Warrenbayne,WARRENBAYNE,0,55,0
Warrion,WARRION,0,86,0
Warrnambool,WARRNAMBOOL,432,11859,0.036428029
Warrnambool,(blank),432,11859,0.036428029
Watchem,WATCHEM,0,44,0
Watsonia,WATSONIA,254,1732,0.14665127
Watsonia North,BUNDOORA,165,1106,0.149186257
Wattle Glen,WATTLE GLEN,18,766,0.023498695
Waubra,WAUBRA,3,135,0.022222222
Waurn Ponds,WAURN PONDS,153,1924,0.07952183
Wedderburn,WEDDERBURN,9,401,0.02244389
Wellsford,JUNORTOUN,0,62,0
Welshpool,WELSHPOOL,0,133,0
Wendouree,BALLARAT,131,4325,0.030289017
Wendouree,WENDOUREE,131,4325,0.030289017
Wendouree,WENDOUREE WEST,131,4325,0.030289017
Werribee,WERRIBEE,843,11100,0.075945946
Werribee,(blank),843,11100,0.075945946
Werribee South,WERRIBEE,7,424,0.016509434
Wesburn,WESBURN,0,464,0
West Bendigo,BENDIGO,4,172,0.023255814
West Footscray,FOOTSCRAY,678,2319,0.2923674
West Footscray,MAIDSTONE,678,2319,0.2923674
West Footscray,WEST FOOTSCRAY,678,2319,0.2923674
West Melbourne,MELBOURNE,941,805,1.168944099
West Melbourne,WEST MELBOURNE,941,805,1.168944099
West Wodonga,WODONGA,110,6363,0.017287443
West Wodonga,WONDONGA,110,6363,0.017287443
West Wodonga,(blank),110,6363,0.017287443
Westmeadows,MEADOW HEIGHTS,62,1513,0.040978189
Westmeadows,WESTMEADOWS,62,1513,0.040978189
Wheelers Hill,GLEN WAVERLEY,4224,3423,1.234005259
Wheelers Hill,WHEELERS HILL,4224,3423,1.234005259
Wheelers Hill,WODONGA,4224,3423,1.234005259
White Hills,BENDIGO,41,1388,0.029538905
White Hills,WHITE HILLS,41,1388,0.029538905
Whitfield,WHITFIELD,0,85,0
Whittlesea,WHITTLESEA,30,2433,0.012330456
Whorouly,WHOROULY,0,134,0
Wickliffe,WICKLIFFE,0,43,0
Wilby,WILBY,0,89,0
Willaura,WILLLAURA,0,145,0
Williamstown,WILLIAMSTOWN,224,4269,0.052471305
Williamstown North,WILLIAMSTOWN,38,451,0.084257206
Williamstown North,WILLIAMSTOWN NORTH,38,451,0.084257206
Willow Grove,WILLOW GROVE,8,303,0.02640264
Winchelsea,WINCHELSEA,7,832,0.008413462
Windsor,WINDSOR,415,1500,0.276666667
Winslow,WINSLOW,0,157,0
Winton,WANGARATTA,3,44,0.068181818
Winton,WINTON,3,44,0.068181818
Wodonga,WODONGA,140,7514,0.018631887
Wodonga,WONDONGA,140,7514,0.018631887
Wollert,WOLLERT,291,1105,0.263348416
Wonga Park,WONGA PARK,67,1564,0.042838875
Wonthaggi,DALYSTON,35,2007,0.017438964
Wonthaggi,WONTHAGGI,35,2007,0.017438964
Wonthaggi,WONTHAGGIE,35,2007,0.017438964
Woodend,WOODEND,40,2282,0.017528484
Woodend North,CARLSRUSHE,3,130,0.023076923
Woods Point,WOODS POINT,0,7,0
Woodside,WOODSIDE,0,153,0
Woodside Beach,WOODSIDE BEACH,0,27,0
Woodstock,YAN YEAN,0,36,0
Woodvale,WOODVALE,4,188,0.021276596
Woolamai,WOOLAMAI,0,70,0
Woolsthorpe,WOOLSTHORPE,0,188,0
Woomelang,WOOMELANG,0,77,0
Wooragee,WORAGEE,0,149,0
Woori Yallock,WOORI YALLOCK,20,1352,0.014792899
Woorinen,SWAN HILL,3,99,0.03030303
Woorinen,WOORINEN,3,99,0.03030303
Woorndoo,WOORNDOO,0,70,0
Wunghnu,WUNGHNU,0,154,0
Wurruk,SALE,3,538,0.005576208
Wurruk,WURRUK,3,538,0.005576208
Wy Yung,WY YUNG,4,709,0.005641749
Wycheproof,WYCHEPROOF,4,241,0.01659751
Wye River,WYE RIVER,0,13,0
Wyndham Vale,WERRIBEE,506,6587,0.076817975
Wyndham Vale,WYNDHAM VALE,506,6587,0.076817975
Wyuna,WYUNA,0,107,0
Yaapeet,YAAPEET,0,41,0
Yackandandah,YACKANDANDAH,0,766,0
Yalca,BEARII,0,121,0
Yallambie,YALLAMBIE,216,1382,0.156295224
Yallourn,NEWBOROUGH,0,69,0
Yallourn,YALLOURN,0,69,0
Yallourn North,YALLOURN NORTH,3,687,0.004366812
Yambuk,YAMBUK,3,103,0.029126214
Yan Yean,YAN YEAN,0,86,0
Yanac,YANAC,0,34,0
Yanakie,YANAKIE,0,110,0
Yannathan,YANNATHAN,0,124,0
Yapeen,YAPEEN,0,85,0
Yarck,YARCK,0,87,0
Yarra Glen,YARRA GLEN,10,1244,0.008038585
Yarra Junction,YARRA JUNCTION,10,1101,0.009082652
Yarragon,CLOVERLEA,3,779,0.003851091
Yarragon,YARRAGON,3,779,0.003851091
Yarragon,YARRAGOON,3,779,0.003851091
Yarram,YARRAM,9,889,0.010123735
Yarrambat,YARRAMBAT,5,571,0.008756567
Yarraville,YARRAVILLE,549,4132,0.13286544
Yarrawonga,YARRAWONGA,40,3331,0.012008406
Yarroweyah,YARROWEYAH,4,208,0.019230769
Yea,YEA,17,671,0.02533532
Yellingbo,YELLINGBO,9,245,0.036734694
Yendon,YENDON,0,127,0
Yeo,YEO,0,66,0
Yering,CROYDEN,0,52,0
Yering,YERING,0,52,0
Yinnar,YINNAR,4,379,0.01055409
Yinnar South,YINNAR SOUTH,0,269,0
Yulecart,YULECART,0,51,0
